t,code,sum_assured_pp,pol_term,premium_pp,duration,surr_val_pp,acq_exp_per_pol,acq_perc_prem,age,claim_pp,lapse_rate,coc_rate,comm_rate,disc_rate,maint_exp_per_pol,maint_perc_prem,prem_tax_rate,ra_perc_av,ra_rate,ra_perc_prem,acq_exp_pp,mort_rate,comm_pp,maint_exp_pp,prem_tax_pp,pols_if,AV_if,SA_if,be_acq_exp,be_claim,be_comm,be_maint_exp,be_prem_tax,be_premium,be_surr_val,pv_pol_if,ra,new_dac,pv_acq_exp,pv_premium,pv_surr_ben,pv_maint_exp,pv_comm,pv_claim,pv_prem_tax,coc_ra,pv_cf,dac_alloc_fact,dac_unwind,pv_coc_ra,dac_alloc,pv_cf_unwind,csm,csm_alloc,csm_unwind,k_factor
19,A,100000.0,55.0,2307.92236328125,19.0,32364.0,0.0,0.0,53.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.01689,0.0,115.3961181640625,80.77728271484376,0.16784723607971228,5432.207948483808,16784.723607971227,0.0,313.4396276353635,0.0,21.414870519781026,14.990409363846721,428.29741039562055,480.4812366508421,1.1051672126416883,147.30277013996044,0.0,0.0,2978.9077869825933,4305.8529011086075,148.94538934912973,0.0,3981.914353093692,104.26177254439084,8.838166208397626,5562.066629113227,334.4340348754729,0.0,75.54045137749351,56.133828404834226,238.15835038500876,438.81681212524467,66.64528970641145,17.552672485009786,397.05920254034424
20,A,100000.0,55.0,2307.92236328125,20.0,34473.0,0.0,0.0,54.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.01861,0.0,115.3961181640625,80.77728271484376,0.1515457110949673,5224.235298576808,15154.571109496732,0.0,312.36370634434456,0.0,19.368919488165773,13.558243641716043,387.37838976331545,462.89582155007366,0.9815266650676435,140.27922415946068,0.0,0.0,2652.634791650452,3997.60578050211,132.63173958252264,0.0,3827.7512995820766,92.84221770776588,8.41675344956764,5398.196245724023,334.4340348754729,0.0,69.72390322419562,50.682043629562635,230.1058988942983,389.724194903843,60.172619195777116,15.588967796153721,397.05920254034424
21,A,100000.0,55.0,2307.92236328125,21.0,36585.0,0.0,0.0,55.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.02049,0.0,115.3961181640625,80.77728271484376,0.13656529631666092,4996.24136574504,13656.529631666092,0.0,310.5171620335881,0.0,17.487786784771725,12.24145074934021,349.7557356954345,443.5439872327503,0.8692420205753819,133.04733566801062,0.0,0.0,2355.866657962622,3694.6141901721207,117.79333289813114,0.0,3668.497645221015,82.45533302869183,7.982840140080636,5207.493843357337,334.4340348754729,0.0,64.09610590359581,45.672083071145465,221.10081366074638,345.14054350421964,54.2245076501792,13.805621740168785,397.05920254034424
22,A,100000.0,55.0,2307.92236328125,22.0,38702.0,0.0,0.0,56.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.02256,0.0,115.3961181640625,80.77728271484376,0.12280563257321649,4752.823591848624,12280.563257321648,0.0,308.091308490387,0.0,15.759105070867614,11.03137354960733,315.18210141735227,422.8280078437929,0.7674464050817363,125.66401821577497,0.0,0.0,2086.3553591578752,3398.8547705462556,104.31776795789379,0.0,3504.7203889962675,73.02243757052568,7.5398410929464985,4994.560005913068,334.4340348754729,0.0,58.67710999965902,41.07038320689559,211.3180651483978,304.7216575942092,48.76110653698386,12.188866303768368,397.05920254034424
23,A,100000.0,55.0,2307.92236328125,23.0,40825.0,0.0,0.0,57.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.02485,0.0,115.3961181640625,80.77728271484376,0.1101735995954703,4497.8372034850745,11017.35995954703,0.0,305.171996944443,0.0,14.171293287631332,9.919905301341934,283.42586575262663,401.08319598412504,0.6753386287117893,118.20230541079091,0.0,0.0,1842.020188050144,3111.980953524313,92.10100940250723,0.0,3336.8178960657315,64.47070658175508,7.092138324647455,4763.3503775241625,334.4340348754729,0.0,53.484353306698885,36.8458014494679,200.90740178751264,268.1494173609937,43.74544159637663,10.72597669443975,397.05920254034424
24,A,100000.0,55.0,2307.92236328125,24.0,42954.0,0.0,0.0,58.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.02737,0.0,115.3961181640625,80.77728271484376,0.0985854963205789,4234.641408954146,9858.549632057891,0.0,301.54514209280217,0.0,12.713605717478998,8.899524002235301,254.27211434957997,378.59174376190646,0.5921785742647906,110.7217509104498,0.0,0.0,1620.9380951894182,2835.37699568116,81.04690475947093,0.0,3165.118614963918,56.732833331629664,6.643305054626988,4517.337253546761,334.4340348754729,0.0,48.53158911431939,32.97034531469229,189.99984952706507,235.12995245905682,39.1442785510931,9.405198098362273,397.05920254034424
25,A,100000.0,55.0,2307.92236328125,25.0,45090.0,0.0,0.0,59.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.03013,0.0,115.3961181640625,80.77728271484376,0.08796590609112467,3966.3827056488117,8796.590609112467,0.0,297.03810041390426,0.0,11.376383582672272,7.963468507870592,227.52767165344545,355.61760232759224,0.5172802209148033,103.2737632943186,0.0,0.0,1421.3326200734318,2570.2003317465005,71.06663100367162,0.0,2990.1782174696727,49.74664170257014,6.196425797659115,4259.8592018489835,334.4340348754729,0.0,43.82954762426518,29.418792905531763,178.72188085647545,205.390872006326,34.927672523280776,8.21563488025304,397.05920254034424
26,A,100000.0,55.0,2307.92236328125,26.0,47225.0,0.0,0.0,60.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.03313,0.0,115.3961181640625,80.77728271484376,0.07824746797253966,3695.2366750031856,7824.746797253966,0.0,291.43104687989603,0.0,10.150924093700247,7.105646865590175,203.01848187400495,332.335193212269,0.4500055236602708,95.90705832997276,0.0,0.0,1241.557146356786,2317.3907426887686,62.07785731783932,0.0,2812.7472457545555,43.454500122487524,5.754423499798365,3994.113199526865,334.4340348754729,0.0,39.386303731576675,26.168616432845777,167.19500441766323,178.67883436329828,31.068877233977723,7.147153374531931,397.05920254034424
27,A,100000.0,55.0,2307.92236328125,27.0,49350.0,0.0,0.0,61.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.03634,0.0,115.3961181640625,80.77728271484376,0.06937163858750417,3423.490364293331,6937.163858750417,0.0,284.3512986122091,0.0,9.029454060197883,6.320617842138519,180.58908120395765,308.9210035555866,0.389758276634142,88.65245177092815,0.0,0.0,1080.0802110620923,2077.75117918405,54.004010553104635,0.0,2633.826088704842,37.802807387173246,5.319147106255689,3723.303874767077,334.4340348754729,0.0,35.20733238104138,23.20023699874207,155.5417153627479,154.7571105038525,27.544647496471377,6.1902844201541,397.05920254034424
28,A,100000.0,55.0,2307.92236328125,28.0,51449.0,0.0,0.0,62.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.0398,0.0,115.3961181640625,80.77728271484376,0.06128179558198378,3152.8871008974834,6128.179558198378,0.0,276.0991215782666,0.0,8.005217803678269,5.603652462574789,160.10435607356538,285.52811469508015,0.3359769691120035,81.54465057965575,0.0,0.0,935.4707750524601,1851.9402227958255,46.77353875262302,0.0,2454.8278336408266,32.741477126836116,4.892679034779345,3450.812297263651,334.4340348754729,0.0,31.296478570027347,20.494718160896763,143.89231132283854,133.4027474275352,24.33250088402287,5.336109897101408,397.05920254034424
29,A,100000.0,55.0,2307.92236328125,29.0,53508.0,0.0,0.0,63.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.04357,0.0,115.3961181640625,80.77728271484376,0.053922807928598604,2885.3016066434543,5392.28079285986,0.0,267.0047833507033,0.0,7.071681324284524,4.950176926999167,141.43362648569047,262.32530544006306,0.28813425229449985,74.60784938619028,0.0,0.0,806.3810757380506,1640.4897170125785,40.319053786902536,0.0,2276.9218254081934,28.223337650831777,4.476470963171416,3179.5728581204557,334.4340348754729,0.0,27.655658678049097,18.033622227376373,132.35938505419452,114.40635644061373,21.410547114865512,4.57625425762455,397.05920254034424
30,A,100000.0,55.0,2307.92236328125,30.0,55514.0,0.0,0.0,64.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.04772,0.0,115.3961181640625,80.77728271484376,0.047241642611506214,2622.572547935156,4724.164261150621,0.0,257.3196394352725,0.0,6.222482715466611,4.355737900826628,124.44965430933222,239.47766074785784,0.24573681445768128,67.86915178785895,0.0,0.0,691.5453472224547,1443.7840002530186,34.57726736112273,0.0,2100.993915073818,24.204087152785917,4.072149107271537,2912.013922618291,334.4340348754729,0.0,24.285414061999646,15.799213152711095,121.03541425245321,97.57206358337278,18.757728942020602,3.9028825433349112,397.05920254034424
31,A,100000.0,55.0,2307.92236328125,31.0,57464.0,0.0,0.0,65.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.05231,0.0,115.3961181640625,80.77728271484376,0.04118879770357846,2366.8730712384327,4118.879770357846,0.0,247.121032500789,0.0,5.451502173061781,3.8160515211432475,109.03004346123562,217.17550008220744,0.2083246444244823,61.355335696952565,0.0,0.0,589.7795206296473,1262.0576995152815,29.488976031482366,0.0,1927.714032241498,20.64228322203766,3.681320141817154,2650.123470380652,334.4340348754729,0.0,21.184681517208098,13.774935807677355,109.9954384059073,82.71721718468709,16.354391169778424,3.3086886873874835,397.05920254034424
32,A,100000.0,55.0,2307.92236328125,32.0,59360.0,0.0,0.0,66.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.05737,0.0,115.3961181640625,80.77728271484376,0.035719732668978224,2120.3233312305474,3571.973266897822,0.0,236.3001324254296,0.0,4.753027366837806,3.327119156786465,95.06054733675612,195.5973625347534,0.17546883249788317,55.100534150152946,0.0,0.0,499.9794562551482,1095.3645074136853,24.99897281275741,0.0,1757.701561030369,17.499280968930186,3.306032049009177,2395.5848659705935,334.4340348754729,0.0,18.35074863607927,11.945894321159631,99.30261067134902,69.67151470229615,14.182848568498775,2.7868605880918462,397.05920254034424
33,A,100000.0,55.0,2307.92236328125,33.0,61209.0,0.0,0.0,67.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.06294,0.0,115.3961181640625,80.77728271484376,0.030793810079209318,1884.8583211383232,3079.3810079209316,0.0,224.81999741854892,0.0,4.121918491858135,2.8853429443006946,82.4383698371627,174.90952935483904,0.14676785312882026,49.13875544828962,0.0,0.0,421.11566527512775,943.5817251754794,21.055783263756386,0.0,1591.7094910461542,14.739048284629472,2.9483253268973773,2149.9703824948915,334.4340348754729,0.0,15.778746532513267,10.298498153978977,89.01605963583582,58.275526721889214,12.226965673229666,2.3310210688755686,397.05920254034424
34,A,100000.0,55.0,2307.92236328125,34.0,63023.0,0.0,0.0,68.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.06902,0.0,115.3961181640625,80.77728271484376,0.026374947602938906,1662.2283227800187,2637.4947602938905,0.0,212.5388771667027,0.0,3.553486146622137,2.4874403026354965,71.06972293244274,155.2574634097607,0.12184475717476376,43.501040302673495,0.0,0.0,352.22438725548363,806.4154648276595,17.611219362774182,0.0,1430.5578732694516,12.32785355394193,2.6100624181604095,1914.6880237583437,334.4340348754729,0.0,13.461571066916422,8.82068014648004,79.18867280966116,48.37958211753512,10.472415662266286,1.935183284701405,397.05920254034424
35,A,100000.0,55.0,2307.92236328125,35.0,64808.0,0.0,0.0,69.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.0756,0.0,115.3961181640625,80.77728271484376,0.022430521439024187,1453.6772334202794,2243.0521439024187,0.0,199.39460387821813,0.0,3.0435665701596952,2.130496599111787,60.8713314031939,136.74460834010117,0.1003435998588154,38.21559371993896,0.0,0.0,292.40085089596255,683.4146200110052,14.620042544798126,0.0,1275.2413110335272,10.234029781358691,2.2929356231963376,1691.1091524747264,334.4340348754729,0.0,11.389971491432668,7.501529789213658,69.87225682834594,39.84234973997024,8.90624495514304,1.5936939895988096,397.05920254034424
36,A,100000.0,55.0,2307.92236328125,36.0,66563.0,0.0,0.0,70.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.08269,0.0,115.3961181640625,80.77728271484376,0.018929682291532773,1260.016442371296,1892.9682291532774,0.0,185.477981779291,0.0,2.5883951024591725,1.811876571721421,51.76790204918345,119.44342388366137,0.08192682241414383,33.301144863307805,0.0,0.0,240.7907002724794,574.0065964713443,12.039535013623968,0.0,1126.8563595966502,8.42767450953678,1.9980686917984682,1480.5394653186756,334.4340348754729,0.0,9.552634727893638,6.330730027668093,61.11628382774715,32.52979877442601,7.51620455501808,1.3011919509770404,397.05920254034424
37,A,100000.0,55.0,2307.92236328125,37.0,68279.0,0.0,0.0,71.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.09024,0.0,115.3961181640625,80.77728271484376,0.015843750340621267,1081.7954295072796,1584.3750340621268,0.0,170.82145299879176,0.0,2.184411854521877,1.5290882981653144,43.688237090437546,103.3999821746853,0.06627421301917681,28.768107187428814,0.0,0.0,196.58371015222778,477.52343644653666,9.829185507611388,0.0,986.4526322012251,6.880429855327975,1.7260864312457287,1284.1019738584735,334.4340348754729,0.0,7.936671425210914,5.298689353973619,52.96306843184895,26.314786170384977,6.290906875495388,1.0525914468153992,397.05920254034424
