t,code,sum_assured_pp,pol_term,premium_pp,duration,surr_val_pp,acq_exp_per_pol,acq_perc_prem,age,claim_pp,lapse_rate,coc_rate,comm_rate,disc_rate,maint_exp_per_pol,maint_perc_prem,prem_tax_rate,ra_perc_av,ra_rate,ra_perc_prem,acq_exp_pp,mort_rate,comm_pp,maint_exp_pp,prem_tax_pp,pols_if,AV_if,SA_if,be_acq_exp,be_claim,be_comm,be_maint_exp,be_prem_tax,be_premium,be_surr_val,pv_pol_if,ra,new_dac,pv_acq_exp,pv_premium,pv_surr_ben,pv_maint_exp,pv_comm,pv_claim,pv_prem_tax,coc_ra,pv_cf,dac_alloc_fact,dac_unwind,pv_coc_ra,dac_alloc,pv_cf_unwind,csm,csm_alloc,csm_unwind,k_factor
47,A,100000.0,55.0,2000.0,47.0,82285.0,0.0,0.0,81.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.20369,0.0,100.0,70.0,0.0013963873353166824,114.90173188653321,139.63873353166824,0.0,38.82447685747454,0.0,0.19060570895711393,0.13342399626997975,3.8121141791422786,12.547192609228896,0.003977480241177708,3.410279223518891,0.0,0.0,11.689769350984555,38.33489096032089,0.5844884675492279,0.0,129.67333305059364,0.4091419272844595,0.20461675341113345,157.31208505476363,291.77411225482774,0.0,0.6215955250351756,0.4074296751259095,6.432006781147152,0.46423146883787775,0.16297929956495522,0.01856925875351511,116.71496542754997
48,A,100000.0,55.0,2000.0,48.0,83704.0,0.0,0.0,82.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.21823,0.0,100.0,70.0,0.001004321428960081,84.06572088967462,100.4321428960081,0.0,30.47336081861596,0.0,0.13963873353166825,0.09774711347216777,2.792774670633365,9.350656441227807,0.0027401921155081337,2.5354204847345003,0.0,0.0,8.192761378715968,27.321093989504828,0.40963806893579846,0.0,96.03578951514284,0.2867466482550589,0.15212522908407,115.86050684312255,291.77411225482774,0.0,0.4418425926254492,0.2930349933533277,4.736635826670083,0.31982142802643765,0.11721934085922345,0.012792857121057506,116.71496542754997
49,A,100000.0,55.0,2000.0,49.0,85270.0,0.0,0.0,83.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.23319,0.0,100.0,70.0,0.0007085138177456094,60.41497323916811,70.85138177456095,0.0,23.41977140192013,0.0,0.1004321428960081,0.07030250002720567,2.008642857920162,6.851079059794089,0.0018454783711683782,1.8520490607167062,0.0,0.0,5.615986176405908,19.063281307857213,0.2807993088202954,0.0,69.4038602771326,0.19655951617420678,0.11112294364300236,83.32851423357839,291.77411225482774,0.0,0.3073910672463972,0.206725990193004,3.406656897943013,0.2153949442882717,0.08269416574312025,0.008615797771530868,116.71496542754997
50,A,100000.0,55.0,2000.0,50.0,87025.0,0.0,0.0,84.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.24857,0.0,100.0,70.0,0.0004898066550230966,42.625424153384984,48.98066550230966,0.0,17.611527967702617,0.0,0.07085138177456095,0.04959596724219266,1.4170276354912188,4.932673199144933,0.0012107836882695039,1.328746813800116,0.0,0.0,3.751637051225176,12.974733500377415,0.1875818525612588,0.0,48.760243286297765,0.13130729679288117,0.07972480882800695,58.30222888480415,291.77411225482774,0.0,0.20856376629325074,0.14291290194587067,2.383952366851145,0.14131657631668232,0.05716776680720462,0.005652663052667293,116.71496542754997
51,A,100000.0,55.0,2000.0,51.0,88988.0,0.0,0.0,85.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.26437,0.0,100.0,70.0,0.0003314911520638693,29.498734639859602,33.14911520638693,0.0,12.949018538845605,0.0,0.04898066550230966,0.034286465851616765,0.9796133100461932,3.4869531693756257,0.0007694083807771875,0.935775614421626,0.0,0.0,2.4279937923633157,8.561049641247578,0.12139968961816579,0.0,33.09912505004706,0.08497978273271606,0.05614653686529756,39.4385603712822,291.77411225482774,0.0,0.13718150811697383,0.09672053661376558,1.6133962619989786,0.08980147256214499,0.03868997835267322,0.0035920589024857996,116.71496542754997
52,A,100000.0,55.0,2000.0,52.0,91141.0,0.0,0.0,86.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.28059,0.0,100.0,70.0,0.00021939980572976677,19.99631769401667,21.939980572976676,0.0,9.30131023576011,0.0,0.03314911520638693,0.023204380644470852,0.6629823041277386,2.416994807220249,0.0004686935639444057,0.6463281886480499,0.0,0.0,1.5063157016098074,5.416538457521856,0.07531578508049037,0.0,21.474071513203338,0.05272104955634326,0.03877969131888299,25.51233110375222,291.77411225482774,0.0,0.08652223157635522,0.06401518354568436,1.044758396481164,0.05470355311195758,0.025607240740560908,0.0021881421244783032,116.71496542754997
53,A,100000.0,55.0,2000.0,53.0,93404.0,0.0,0.0,87.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.29723,0.0,100.0,70.0,0.00014185259335489154,13.24959962972029,14.185259335489155,0.0,6.521220425705858,0.0,0.021939980572976678,0.015357986401083674,0.43879961145953356,1.6394255563506508,0.0002680415007724152,0.4372243208543938,0.0,0.0,0.8770667333813517,3.216205188602481,0.043853336669067586,0.0,13.031724137971363,0.030697335668347307,0.026233459251263625,15.445413265529908,291.77411225482774,0.0,0.05120342952052645,0.041388914497168555,0.6338765964006152,0.03128445449587497,0.016556320529224473,0.0012513781798349987,116.71496542754997
54,A,100000.0,55.0,2000.0,54.0,95634.0,0.0,0.0,88.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.31429,0.0,100.0,70.0,8.948816244623208e-05,8.558110927382959,8.948816244623208,0.0,4.458285156550887,0.0,0.014185259335489154,0.009929681534842407,0.28370518670978306,1.0852744730321358,0.00013691056744842027,0.28910693346473737,0.0,0.0,0.45579780679869086,1.7054278397959297,0.022789890339934546,0.0,7.03177267778436,0.01595292323795418,0.017346416007884242,8.320145524359488,291.77411225482774,0.0,0.027018107450083883,0.026110329155065178,0.34318943080795755,0.015979512146485495,0.010444607786086952,0.0006391804858594198,116.71496542754997
55,A,100000.0,55.0,2000.0,55.0,100000.0,0.0,0.0,89.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.33177,0.0,100.0,70.0,5.501478080813001e-05,5.501478080813001,5.501478080813001,0.0,2.968948765478642,0.0,0.008948816244623207,0.0062641713712362455,0.17897632489246415,0.7159052995698566,5.2898827700125006e-05,0.18637520616351863,0.0,0.0,0.17897632489246415,0.6883704803556313,0.008948816244623207,0.0,2.854758428344848,0.0062641713712362455,0.011182512369811118,3.3793655714238744,291.77411225482774,0.0,0.010752415740202997,0.016051888831186068,0.14172515634801916,0.006174084846257961,0.006421048240025134,0.00024696339385031846,116.71496542754997
56,A,100000.0,55.0,2000.0,56.0,0.0,0.0,0.0,90.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.501478080813001e-05,0.0,5.501478080813001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.71496542754997
